geo,sex,vintage,start_year,end_year,age_at_start,age_at_end,start_pop,end_pop,net_migration,net_pct_of_start
Staten Island,female,v2020,2011,2016,25-29,30-34,14816,14739,-77,-0.5
Staten Island,female,v2020,2012,2017,25-29,30-34,15067,15000,-67,-0.4
Staten Island,female,v2020,2013,2018,25-29,30-34,14961,15199,238,1.6
Staten Island,female,v2020,2014,2019,25-29,30-34,15222,15403,181,1.2
Staten Island,female,v2020,2015,2020,25-29,30-34,15685,15778,93,0.6
Staten Island,female,v2025,2020,2025,25-29,30-34,15608,16106,498,3.2
Staten Island,male,v2020,2010,2015,15-19,20-24,16885,15996,-889,-5.3
Staten Island,male,v2020,2011,2016,15-19,20-24,16762,15439,-1323,-7.9
Staten Island,male,v2020,2012,2017,15-19,20-24,16176,14913,-1263,-7.8
Staten Island,male,v2020,2013,2018,15-19,20-24,15777,14782,-995,-6.3
Staten Island,male,v2020,2014,2019,15-19,20-24,15457,14510,-947,-6.1
Staten Island,male,v2020,2015,2020,15-19,20-24,15229,14340,-889,-5.8
Staten Island,male,v2025,2020,2025,15-19,20-24,16420,15292,-1128,-6.9
Staten Island,male,v2020,2010,2015,20-24,25-29,16078,16127,49,0.3
Staten Island,male,v2020,2011,2016,20-24,25-29,16209,16617,408,2.5
Staten Island,male,v2020,2012,2017,20-24,25-29,16520,17083,563,3.4
Staten Island,male,v2020,2013,2018,20-24,25-29,16515,17092,577,3.5
Staten Island,male,v2020,2014,2019,20-24,25-29,16401,17014,613,3.7
Staten Island,male,v2020,2015,2020,20-24,25-29,15996,16750,754,4.7
Staten Island,male,v2025,2020,2025,20-24,25-29,16547,17476,929,5.6
Staten Island,male,v2020,2010,2015,25-29,30-34,15250,14709,-541,-3.5
Staten Island,male,v2020,2011,2016,25-29,30-34,15328,14718,-610,-4.0
Staten Island,male,v2020,2012,2017,25-29,30-34,15438,15037,-401,-2.6
Staten Island,male,v2020,2013,2018,25-29,30-34,15445,15273,-172,-1.1
Staten Island,male,v2020,2014,2019,25-29,30-34,15681,15675,-6,-0.0
Staten Island,male,v2020,2015,2020,25-29,30-34,16127,15924,-203,-1.3
Staten Island,male,v2025,2020,2025,25-29,30-34,16248,16074,-174,-1.1
