year,geo,sex,inmovers,inmovers_moe,pop_20_29,inmover_rate,low_income_inmovers,low_income_inmovers_moe,sample_inmovers,low_income_share,low_income_share_moe,nonmover_low_income_share,nonmover_low_income_share_moe
2011,NYC,all,111901.0,9804.233251852169,1388999.0,0.08056233301823831,77181.0,8126.356525866157,905,0.6897257397163564,0.03575006658096929,0.7943972950685692,0.009426043117136266
2011,NYC,women,63654.0,6356.226507474187,715722.0,0.08893676595102568,46055.0,6052.779668296935,487,0.723520909919251,0.049234330371182106,0.7881336536330166,0.01290386906571353
2011,NYC,men,48247.0,6080.777211114238,673277.0,0.07165995570916577,31126.0,4449.571063649703,418,0.6451385578377931,0.05637822944151605,0.8009051129331538,0.012705238310253273
2011,Manhattan,all,61097.0,6986.3091512808105,325677.0,0.18759998403325995,36674.0,5907.594234559658,404,0.6002586051688299,0.059238119073944065,0.6043361978461523,0.028976447839241512
2011,Manhattan,women,38744.0,5322.889312194553,177224.0,0.21861598880512798,25548.0,5110.45891527488,242,0.6594053272764815,0.08197876788972341,0.5974945292496877,0.035650339447882554
2011,Manhattan,men,22353.0,4082.5797446583942,148453.0,0.15057290859733383,11126.0,2284.5015307923304,162,0.49774079541895944,0.08049495229048122,0.61224573406805,0.03942297865438418
2012,NYC,all,107273.0,9306.46755888244,1400836.0,0.07657784351630027,77566.0,8165.416395208515,843,0.7230710430397211,0.03677475987373581,0.7933352268196509,0.009004261301101057
2012,NYC,women,58233.0,5408.407186523705,719740.0,0.08090838358296051,45356.0,5310.204916509226,459,0.7788710868407948,0.046857777505932556,0.7953959643333468,0.012123387709292107
2012,NYC,men,49040.0,6070.47777408665,681096.0,0.07200159742532623,32210.0,4584.481323356139,384,0.656810766721044,0.04959376740691018,0.7912028411100456,0.012453305325938697
2012,Manhattan,all,54689.0,7077.694367190667,328096.0,0.1666859699600117,35355.0,5983.575322384916,354,0.6464736967214614,0.06518748883234404,0.5988500479146702,0.026845062417377538
2012,Manhattan,women,31169.0,4683.662216756509,177110.0,0.17598667494777256,22628.0,4447.68076236242,213,0.7259777342872726,0.07509800877153429,0.5761460012616527,0.03655401395049285
2012,Manhattan,men,23520.0,4171.183394510484,150986.0,0.15577603221490735,12727.0,2916.683345775643,141,0.5411139455782313,0.09375419928432689,0.6242871025688848,0.039510740050502396
2013,NYC,all,101787.0,7866.1621494082165,1400299.0,0.07268947560485296,73329.0,6746.93035053164,863,0.7204161631642547,0.03768106043169277,0.7889704404135027,0.009429798897366141
2013,NYC,women,52077.0,5192.949212405582,719060.0,0.07242371985647929,38482.0,4523.6693643722465,447,0.7389442556214836,0.04735520275192606,0.7870352244556433,0.01266539244718235
2013,NYC,men,49710.0,5754.406933415359,681239.0,0.07296998557040921,34847.0,4967.116575065709,416,0.7010058338362503,0.05311587280356167,0.790976430976431,0.012422885484187808
2013,Manhattan,all,42975.0,5118.94219189192,319997.0,0.13429813404500668,26616.0,4241.07165731773,306,0.6193368237347295,0.0754969289123673,0.6074404774842527,0.026136286264643805
2013,Manhattan,women,23190.0,3737.3791808431743,172540.0,0.13440361655268343,14893.0,3135.625003468009,161,0.6422164726175076,0.09873667895508971,0.6253362860892389,0.03538228318589885
2013,Manhattan,men,19785.0,3310.945875193183,147457.0,0.13417470855910538,11723.0,2779.029474670519,145,0.5925195855446045,0.0978691667683427,0.5872603335213977,0.04262036805560623
2014,NYC,all,106874.0,7956.0099842714035,1414267.0,0.07556847469395807,76675.0,6706.4512918489545,934,0.7174336134139266,0.030787655943799237,0.7829883381542838,0.010097977564064949
2014,NYC,women,58210.0,4898.73350800758,727772.0,0.07998384109308959,43375.0,4371.65594570124,522,0.7451468819790414,0.03860896971755545,0.7826257740269987,0.012760377307669437
2014,NYC,men,48664.0,4849.205598652733,686495.0,0.07088762481882606,33300.0,4173.154360766266,412,0.6842840703600197,0.0478858765859702,0.7833632820745697,0.012586906980292507
2014,Manhattan,all,52191.0,6084.415350195633,320140.0,0.16302555132129692,34742.0,5170.473147911732,409,0.6656703263014696,0.05218210716197014,0.5917550145235629,0.03303167522515579
2014,Manhattan,women,29101.0,4116.3986280107465,171352.0,0.16983169148886504,20801.0,3328.189392029471,238,0.714786433455895,0.05317684057518492,0.5755857832382624,0.045232284950053964
2014,Manhattan,men,23090.0,3804.3042984233666,148788.0,0.1551872462833024,13941.0,3340.138919309158,171,0.60376786487657,0.09321410406283061,0.6094175390160665,0.03751667297799835
2015,NYC,all,98828.0,7868.764399705331,1409522.0,0.07011454947138107,68133.0,6490.508985666879,819,0.6894098838385883,0.03909137279750298,0.7754510925741307,0.008766827407249699
2015,NYC,women,51887.0,4873.722275176977,725435.0,0.07152536064568156,38287.0,4113.311151753992,433,0.737891957523079,0.04280812431620449,0.7713938327373431,0.011017672730525157
2015,NYC,men,46941.0,6137.004004516069,684087.0,0.0686184651952164,29846.0,4633.764509462987,386,0.6358194329051362,0.06059356009628634,0.7797143778669725,0.012100383595793329
2015,Manhattan,all,53239.0,6487.962134780555,323369.0,0.16463853987240581,34230.0,5193.455862346382,341,0.6429497173124965,0.05822319297031291,0.6061131124089383,0.027566373733106782
2015,Manhattan,women,26624.0,4136.262136863427,174666.0,0.1524280627025294,18924.0,3460.2220738619153,176,0.7107872596153846,0.06356902004773995,0.5924481398937083,0.0343667403230513
2015,Manhattan,men,26615.0,5130.39483045713,148703.0,0.17898092170299187,15306.0,3618.4244098521317,165,0.575089235393575,0.08928886556726238,0.6228677730248983,0.03770223119794592
2016,NYC,all,108303.0,8632.190102221815,1385212.0,0.07818514422341129,72902.0,7001.267269627068,920,0.6731300148657009,0.044095568389850306,0.7605099103074522,0.009141043688567977
2016,NYC,women,61714.0,6136.811081031418,711580.0,0.08672812614182523,42067.0,4648.530301720238,514,0.6816443594646272,0.05670861218884281,0.7603017787167703,0.012743868344226453
2016,NYC,men,46589.0,5279.430860024,673632.0,0.0691609068452805,30835.0,3977.601121888355,406,0.6618515100130932,0.06290699573525309,0.7607235366628473,0.011938403240961112
2016,Manhattan,all,51144.0,6993.206666572658,307896.0,0.16610803647985034,29417.0,4174.593446812217,378,0.5751798842483967,0.06318145932761574,0.6120646054802161,0.02925025936779898
2016,Manhattan,women,30976.0,5234.3662710021545,164703.0,0.18807186268616843,17985.0,3420.3954581685434,226,0.5806107954545454,0.08319266431632134,0.5881056069678824,0.04038739268171355
2016,Manhattan,men,20168.0,3911.3998526047235,143193.0,0.14084487370192678,11432.0,2366.569003388133,152,0.5668385561285204,0.11031576398000745,0.6381227736059443,0.0396062022791139
2017,NYC,all,95478.0,6824.59794133563,1391012.0,0.06863923531932148,60035.0,5314.537870429916,813,0.6287835941263956,0.037719046098811486,0.7454576434639866,0.009606013382419102
2017,NYC,women,49086.0,5097.306424824292,719336.0,0.0682379305359387,31363.0,4150.06664377167,420,0.6389398199079167,0.06036348386038729,0.7585127348230513,0.01247243400169403
2017,NYC,men,46392.0,4573.8850059153765,671676.0,0.06906901541814804,28672.0,3716.7888786182084,393,0.6180375926883945,0.0497792948832102,0.7315592869965728,0.012505164945951986
2017,Manhattan,all,50092.0,5631.198901840308,312264.0,0.16041554582020343,28611.0,3905.0388350957855,367,0.5711690489499321,0.05453111789777181,0.6064125256557515,0.02398827452739185
2017,Manhattan,women,27426.0,4176.043133746197,168468.0,0.16279649547688582,16755.0,2995.0267259644365,200,0.6109166484357909,0.08081785841542495,0.6118791073443408,0.03296244681166524
2017,Manhattan,men,22666.0,3569.5444948118034,143796.0,0.15762608139308465,11856.0,2481.781629882553,167,0.5230742080649431,0.08293367635689182,0.5998235141448223,0.0345746121075665
2018,NYC,all,92023.0,6406.581000476581,1307785.0,0.07036554173660044,60474.0,5284.176506175537,862,0.6571617965073949,0.040369705034511316,0.7386365796266237,0.00964567467069327
2018,NYC,women,49772.0,4069.851129108871,676667.0,0.0735546435691411,34501.0,3559.068489198403,480,0.6931809049264647,0.04084740858249349,0.7391392118115296,0.012162499864605932
2018,NYC,men,42251.0,4599.197440117813,631118.0,0.06694627629064612,25973.0,3510.163313323541,382,0.614731012283733,0.06718647475007598,0.7381068108040578,0.012925868808777004
2018,Manhattan,all,43066.0,4635.254557212177,295994.0,0.1454961924903883,26950.0,3585.625503069339,362,0.6257836808619328,0.06311818278037419,0.523992474502426,0.02723581914215246
2018,Manhattan,women,22857.0,3089.794220970468,158859.0,0.14388231072838178,15295.0,2530.928808453529,201,0.6691604322527016,0.06183443946080853,0.5249776299496561,0.03838373595131894
2018,Manhattan,men,20209.0,3622.9214807760804,137135.0,0.14736573449520546,11655.0,2624.787098604618,161,0.5767232421198476,0.10784078575777795,0.5227991810906384,0.03788334282338129
2019,NYC,all,97531.0,7977.126394358671,1274351.0,0.07653385919577887,63454.0,6994.153654193622,926,0.6506033978940029,0.0404062713591721,0.7252144550743155,0.010325354476318334
2019,NYC,women,53185.0,5788.648569531688,660705.0,0.08049734753028961,35727.0,4809.509993110525,514,0.6717495534455203,0.04320097591851982,0.7302054383957277,0.014000988113789803
2019,NYC,men,44346.0,4028.427565814917,613646.0,0.07226642070509708,27727.0,3539.9036657065258,412,0.6252424119424526,0.05754083405666339,0.7199757317748284,0.013978729885962271
