year,agi_band,agi_stub,age,inflow_returns,inflow_people,outflow_returns,nonmigrant_returns
2016,$1-10k,1,under 26,6432,8144,7734,134010
2017,$1-10k,1,under 26,5357,6466,6475,85461
2018,$1-10k,1,under 26,4649,5581,5137,77760
2019,$1-10k,1,under 26,4205,4969,4454,67228
2020,$1-10k,1,under 26,4199,4934,4939,64642
2021,$1-10k,1,under 26,4211,4844,5392,72256
2022,$1-10k,1,under 26,4113,4692,4578,68269
2023,$1-10k,1,under 26,6429,7206,6442,98002
2012,$10-25k,2,under 26,14889,21043,15803,299477
2013,$10-25k,2,under 26,14561,20459,16465,303120
2014,$10-25k,2,under 26,12964,18134,16237,308747
2015,$10-25k,2,under 26,12238,17421,14834,320621
2016,$10-25k,2,under 26,12680,17291,16539,323900
2017,$10-25k,2,under 26,11947,14789,15748,231261
2018,$10-25k,2,under 26,10682,13116,13208,225871
2019,$10-25k,2,under 26,10257,12437,12519,212453
2020,$10-25k,2,under 26,8832,10880,12393,190727
2021,$10-25k,2,under 26,7879,9356,12257,191721
2022,$10-25k,2,under 26,9954,11207,12950,227366
2023,$10-25k,2,under 26,14030,16228,15044,237973
2012,$25-50k,3,under 26,12490,15713,11080,174659
2013,$25-50k,3,under 26,11086,14468,10684,179871
2014,$25-50k,3,under 26,10287,13300,10280,191375
2015,$25-50k,3,under 26,9564,12256,9238,210923
2016,$25-50k,3,under 26,11174,14110,12393,228200
2017,$25-50k,3,under 26,12099,14512,13000,178658
2018,$25-50k,3,under 26,11211,13157,11572,190473
2019,$25-50k,3,under 26,11013,12825,11733,205260
2020,$25-50k,3,under 26,10284,12195,12691,210146
2021,$25-50k,3,under 26,8676,10360,13340,217858
2022,$25-50k,3,under 26,11965,13372,15133,252673
2023,$25-50k,3,under 26,17354,18969,17133,269149
2012,$50-75k,4,under 26,2993,3569,2608,36392
2013,$50-75k,4,under 26,3296,3911,2926,39935
2014,$50-75k,4,under 26,3557,4154,3178,44442
2015,$50-75k,4,under 26,3530,4130,2777,52562
2016,$50-75k,4,under 26,4583,5377,3864,60280
2017,$50-75k,4,under 26,5032,5565,4288,47746
2018,$50-75k,4,under 26,4963,5413,4075,55010
2019,$50-75k,4,under 26,5358,5877,4235,61445
2020,$50-75k,4,under 26,4981,5453,5966,65418
2021,$50-75k,4,under 26,4616,5058,5912,64134
2022,$50-75k,4,under 26,7398,7930,5695,72499
2023,$50-75k,4,under 26,10282,10916,6819,91525
2012,$75-100k,5,under 26,869,1090,828,9842
2013,$75-100k,5,under 26,1012,1276,998,11058
2014,$75-100k,5,under 26,1201,1465,1145,12525
2015,$75-100k,5,under 26,1234,1474,982,15388
2016,$75-100k,5,under 26,1710,2028,1493,17796
2017,$75-100k,5,under 26,1881,2088,1543,13755
2018,$75-100k,5,under 26,1865,2013,1534,16469
2019,$75-100k,5,under 26,2218,2400,1646,18970
2020,$75-100k,5,under 26,2066,2239,2518,19937
2021,$75-100k,5,under 26,2210,2369,2696,19334
2022,$75-100k,5,under 26,4065,4255,2325,23854
2023,$75-100k,5,under 26,5012,5244,3034,31655
2012,$100-200k,6,under 26,591,766,786,6923
2013,$100-200k,6,under 26,690,931,899,7643
2014,$100-200k,6,under 26,773,1023,1032,8947
2015,$100-200k,6,under 26,874,1155,910,11568
2016,$100-200k,6,under 26,1353,1864,1457,14140
2017,$100-200k,6,under 26,1239,1363,1251,9319
2018,$100-200k,6,under 26,1324,1440,1254,11007
2019,$100-200k,6,under 26,1689,1813,1389,13046
2020,$100-200k,6,under 26,1723,1853,2319,13960
2021,$100-200k,6,under 26,1950,2074,2469,13694
2022,$100-200k,6,under 26,4114,4284,1888,16734
2023,$100-200k,6,under 26,5235,5430,2548,25175
2012,$200k+,7,under 26,127,206,164,1621
2013,$200k+,7,under 26,157,245,258,1842
2014,$200k+,7,under 26,172,307,282,2273
2015,$200k+,7,under 26,232,420,300,3415
2016,$200k+,7,under 26,308,529,480,4280
2017,$200k+,7,under 26,187,219,194,1758
2018,$200k+,7,under 26,206,238,257,2090
2019,$200k+,7,under 26,280,327,291,2504
2020,$200k+,7,under 26,308,347,450,2640
2021,$200k+,7,under 26,422,441,442,2267
2022,$200k+,7,under 26,1262,1301,489,3836
2023,$200k+,7,under 26,1137,1183,539,4868
