SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,36,001,New York,Albany County,1,314840,152172,162668,14895,7605,7290,29843,15350,14493,14155,7185,6970,37956,18492,19464,263223,125781,137442,255947,122032,133915,130666,64301,66365,81967,40342,41625,80308,38896,41412,55716,24302,31414,14895,7605,7290,16351,8440,7911,16904,8628,8276,23514,11546,11968,25185,12413,12772,22416,11234,11182,21607,10638,10969,20186,9791,10395,17758,8679,9079,17275,8433,8842,19640,9490,10150,22074,10718,11356,21319,10255,11064,18325,8704,9621,14737,6735,8002,9281,4030,5251,6126,2465,3661,7247,2368,4879,39.1,37.8,40.3
050,36,001,New York,Albany County,2,314293,151904,162389,14848,7579,7269,29755,15303,14452,14065,7150,6915,38289,18627,19662,262861,125588,137273,255625,121872,133753,130737,64300,66437,81764,40243,41521,79729,38590,41139,55843,24412,31431,14848,7579,7269,16277,8417,7860,16859,8606,8253,23583,11555,12028,25390,12502,12888,22117,11073,11044,21628,10662,10966,20167,9801,10366,17852,8707,9145,17063,8320,8743,19540,9464,10076,21897,10606,11291,21229,10200,11029,18375,8748,9627,14893,6798,8095,9309,4042,5267,6141,2480,3661,7125,2344,4781,39.0,37.7,40.3
050,36,001,New York,Albany County,3,316195,152538,163657,14466,7341,7125,29355,15006,14349,13822,7074,6748,41068,19831,21237,265677,126720,138957,258552,123117,135435,133786,65685,68101,82207,40534,41673,77854,37564,40290,57423,25188,32235,14466,7341,7125,15955,8213,7742,16711,8547,8164,24810,12079,12731,26769,13072,13697,21462,10780,10682,22023,10887,11136,20342,9998,10344,18380,8869,9511,16498,8028,8470,19269,9412,9857,21047,10092,10955,21040,10032,11008,18656,8921,9735,15701,7165,8536,9659,4237,5422,6287,2543,3744,7120,2322,4798,38.9,37.6,40.1
050,36,001,New York,Albany County,4,315764,152156,163608,14240,7226,7014,28896,14754,14142,13755,7071,6684,42242,20364,21878,265893,126669,139224,258873,123105,135768,134015,65822,68193,81414,40123,41291,76133,36637,39496,59084,25981,33103,14240,7226,7014,15730,8132,7598,16562,8358,8204,24702,12166,12536,27899,13533,14366,20297,10252,10045,21818,10724,11094,20460,10084,10376,18839,9063,9776,16262,7870,8392,18706,9106,9600,20369,9783,10586,20796,9878,10918,18887,8997,9890,15739,7213,8526,10747,4793,5954,6568,2639,3929,7143,2339,4804,39.0,37.8,40.3
050,36,001,New York,Albany County,5,317590,153125,164465,14111,7137,6974,28867,14786,14081,13732,7095,6637,43858,21164,22694,267859,127773,140086,260880,124107,136773,135664,66733,68931,81421,40138,41283,74849,36098,38751,60752,26707,34045,14111,7137,6974,15605,8086,7519,16609,8364,8245,24865,12314,12551,29378,14281,15097,19573,9787,9786,21780,10771,11009,20845,10312,10533,19223,9268,9955,16601,8105,8496,18041,8753,9288,19753,9481,10272,20454,9759,10695,19079,9034,10045,15985,7357,8628,11385,5086,6299,7017,2840,4177,7286,2390,4896,39.0,37.8,40.3
050,36,001,New York,Albany County,6,319702,154591,165111,14151,7216,6935,28599,14685,13914,13744,7058,6686,45069,21965,23104,270187,129335,140852,263208,125632,137576,137510,68013,69497,82107,40653,41454,73681,35627,38054,62351,27387,34964,14151,7216,6935,15402,7947,7455,16607,8401,8206,24572,12222,12350,30831,15138,15693,19045,9548,9497,21862,10871,10991,21461,10686,10775,19739,9548,10191,16947,8327,8620,17317,8366,8951,19004,9131,9873,20413,9803,10610,19142,9005,10137,16246,7482,8764,12196,5442,6754,7315,2967,4348,7452,2491,4961,39.0,37.7,40.3
050,36,001,New York,Albany County,7,321225,155478,165747,13999,7157,6842,28396,14636,13760,13689,6934,6755,45483,22334,23149,272080,130340,141740,265141,126751,138390,138533,68574,69959,82696,40983,41713,73244,35472,37772,63718,27962,35756,13999,7157,6842,15217,7908,7309,16514,8405,8109,24532,12117,12415,31305,15474,15831,19389,9614,9775,21519,10849,10670,21817,10809,11008,19971,9711,10260,17555,8570,8985,16862,8176,8686,18442,8872,9570,20385,9854,10531,19050,8863,10187,16490,7637,8853,12993,5755,7238,7573,3121,4452,7612,2586,5026,39.1,37.8,40.4
050,36,003,New York,Allegany County,1,46458,23696,22762,2420,1229,1191,4852,2496,2356,2328,1249,1079,6961,3855,3106,38040,19364,18676,36858,18722,18136,18176,9591,8585,9452,4782,4670,11346,5690,5656,9099,4395,4704,2420,1229,1191,2639,1415,1224,2778,1376,1402,4315,2423,1892,4409,2386,2023,2276,1175,1101,2376,1215,1161,2452,1191,1261,2348,1201,1147,2367,1181,1186,2537,1254,1283,3157,1586,1571,3285,1669,1616,2993,1474,1519,2447,1244,1203,1593,791,802,1067,493,574,999,393,606,39.2,37.7,40.5
050,36,003,New York,Allegany County,2,46385,23658,22727,2429,1222,1207,4824,2483,2341,2325,1243,1082,6969,3857,3112,37992,19353,18639,36807,18710,18097,18173,9585,8588,9444,4777,4667,11273,5654,5619,9121,4422,4699,2429,1222,1207,2616,1401,1215,2773,1374,1399,4302,2420,1882,4427,2388,2039,2282,1178,1104,2359,1206,1153,2455,1193,1262,2348,1200,1148,2343,1178,1165,2533,1251,1282,3126,1566,1560,3271,1659,1612,3005,1485,1520,2457,1247,1210,1596,799,797,1073,495,578,990,396,594,39.1,37.7,40.4
050,36,003,New York,Allegany County,3,46753,23874,22879,2377,1203,1174,4770,2448,2322,2292,1188,1104,7556,4228,3328,38489,19656,18833,37314,19035,18279,18749,9925,8824,9455,4789,4666,11018,5517,5501,9285,4501,4784,2377,1203,1174,2576,1370,1206,2748,1358,1390,4502,2536,1966,4792,2600,2192,2235,1162,1073,2303,1171,1132,2502,1234,1268,2415,1222,1193,2226,1143,1083,2548,1261,1287,2993,1488,1505,3251,1625,1626,3041,1505,1536,2551,1274,1277,1636,846,790,1088,495,593,969,381,588,38.7,37.0,40.2
